Team_Name,Start_Date,End_Date,Nb_Agents,Agents_List,Total_Calls,API_Errors,Files_Processed,Timing_Pts_2,Agents_Pts_6,API_Pts_4,Volume_Pts_2,Files_Processed_6,Team_Score_20,Notes
SOA,2026-02-28 23:29:41,2026-02-28 23:30:44,3,Auditor_Agent | Fixer_Agent | Judge_Agent,6,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
s3m4ph0res,2026-02-28 23:29:04,2026-02-28 23:32:51,6,System | Orchestrator | Auditor_Agent | Judge_Agent | TestGenerator_Agent | Fixer_Agent,18,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
Team101,2026-02-28 23:30:06,2026-02-28 23:31:33,3,Auditor_Agent | Fixer_Agent | Judge_Agent,12,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
HiveMind,2026-02-28 23:28:34,2026-02-28 23:29:11,3,JudgeAgent | AuditorAgent | FixerAgent,9,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
TheSlayers,2026-02-28 23:30:08,2026-02-28 23:30:13,4,Auditor_Agent | Fixer_Agent | Judge_Agent | Orchestrator,4,0,1/3 processed (bad_syntax.py),2,6,4,2,2,16,✅ Perfect timing - ⚠️ Missing files (2)
EldenAgents,2026-02-28 23:32:43,2026-02-28 23:33:50,3,Judge | Auditor | Fixer,9,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
CodeHive,2026-02-28 23:28:59,2026-02-28 23:39:06,3,Judge | Auditor | Fixer,25,8,No files processed,2,6,0,2,0,10,✅ Perfect timing - ❌ Many API errors (8) - ❌ NO files from hidden_dataset processed (0 pts)
NMAT,2026-02-28 23:34:19,2026-02-28 23:34:25,1,Unknown,11,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,0,4,2,6,14,✅ Perfect timing - ❌ Only 1 agent used (No Swarm) - ⚠️ Missing files (0)
eloussoud,2026-02-28 23:29:14,2026-02-28 23:36:03,4,System | Auditor | Fixer | Judge,183,2,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
venai,2026-02-28 23:29:01,2026-02-28 23:36:18,5,System | Generator | Orchestrator | Auditor | Fixer,81,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
eqigl13,2026-02-28 23:29:44,2026-02-28 23:30:01,1,Unknown,10,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,0,4,2,6,14,✅ Perfect timing - ❌ Only 1 agent used (No Swarm) - ⚠️ Missing files (0)
NeetCode,2026-01-08 13:14:16,2026-01-08 13:14:16,1,System,1,0,No files processed,0,0,4,0,0,4,❌ Execution outside the time window (Different time) - ❌ Only 1 agent used (No Swarm) - ❌ Less than 3 successful calls - ❌ NO files from hidden_dataset processed (0 pts)
YADIS,2026-02-28 23:29:24,2026-02-28 23:31:24,5,System | Auditor | Tester | Judge | Fixer,53,11,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,0,2,6,16,✅ Perfect timing - ❌ Many API errors (11) - ⚠️ Missing files (0)
HiveMindAI,2026-02-28 23:30:50,2026-02-28 23:30:53,3,System | Auditor | Judge,5,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
kaizen,2026-02-28 23:36:04,2026-02-28 23:36:04,1,Unknown,3,0,No files processed,2,0,4,2,0,8,✅ Perfect timing - ❌ Only 1 agent used (No Swarm) - ❌ NO files from hidden_dataset processed (0 pts)
AIvalkyries,2026-02-28 23:31:23,2026-02-28 23:34:05,1,Auditor,3,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,0,4,2,6,14,✅ Perfect timing - ❌ Only 1 agent used (No Swarm) - ⚠️ Missing files (0)
Semaphore,2026-02-28 23:31:13,2026-02-28 23:31:28,3,Judge | Auditor | Fixer,9,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
Shecodes,2026-02-28 23:39:15,2026-02-28 23:41:37,4,Auditor_Agent | System | Fixer_Agent | Judge_Agent,13,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
KTLB,2026-02-28 23:32:02,2026-02-28 23:32:30,4,Auditor_Agent | Fixer_Agent | Judge_Agent | Orchestrator,8,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
edm,2026-02-28 23:29:39,2026-02-28 23:31:39,4,System | Judge | Auditor | Fixer,27,6,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,0,2,6,16,✅ Perfect timing - ❌ Many API errors (6) - ⚠️ Missing files (0)
team42,2026-02-28 23:30:56,2026-02-28 23:35:25,5,Generator | Orchestrator | Auditor | Judge | Fixer,24,2,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
TechPioneers,2026-02-28 23:30:10,2026-02-28 23:31:41,3,Judge | Auditor | Fixer,18,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
Squad,2026-02-28 23:15:06,2026-02-28 23:15:06,1,JudgeAgent,3,0,1/3 processed (messy_code.py),2,0,4,2,2,10,✅ Perfect timing - ❌ Only 1 agent used (No Swarm) - ⚠️ Missing files (2)
103,2026-02-28 23:30:36,2026-02-28 23:35:33,4,FIXER | System | AUDITOR | TESTER,24,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
TheTeam,2026-02-28 23:30:26,2026-02-28 23:32:27,3,Auditor_Agent | System | auditor,8,1,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
Guembo,2026-02-28 23:30:40,2026-02-28 23:34:02,4,Judge | TestGenerator | Auditor | Fixer,36,14,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,0,2,6,16,✅ Perfect timing - ❌ Many API errors (14) - ⚠️ Missing files (0)
AIgile,2026-02-28 23:30:09,2026-02-28 23:32:24,3,System | Auditor | FixateurAgent,9,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
DevGirls,2026-02-28 23:29:29,2026-02-28 23:30:12,1,Unknown,6,3,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,0,2,2,6,12,✅ Perfect timing - ❌ Only 1 agent used (No Swarm) - ⚠️ 3 API errors - ⚠️ Missing files (0)
aiAgentsBuilders,2026-02-28 23:34:52,2026-02-28 23:36:33,3,Judge | Auditor | Fixer,11,1,"2/3 processed (bad_syntax.py,logic_bug.py)",2,6,4,2,4,18,✅ Perfect timing - ⚠️ Missing files (1)
Enova,2026-03-01 00:33:01,2026-03-01 00:33:40,3,Auditor_Agent | System | FixerAgent,7,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",0,6,4,2,6,18,❌ Execution outside the time window (Different time) - ⚠️ Missing files (0)
AgentMelio,2026-02-28 23:31:52,2026-02-28 23:38:47,4,SYSTEM | Judge | Auditor | Fixer,16,6,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,0,2,6,16,✅ Perfect timing - ❌ Many API errors (6) - ⚠️ Missing files (0)
AgentCore,2026-02-28 23:31:20,2026-02-28 23:34:45,5,System | X | Auditor_Agent | Judge_Agent | Fixer_Agent,22,3,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,2,2,6,18,✅ Perfect timing - ⚠️ 3 API errors - ⚠️ Missing files (0)
Expedition33,2026-02-28 23:39:28,2026-02-28 23:41:25,3,Judge | Auditor | Fixer,11,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
GL08,2026-02-28 23:29:30,2026-02-28 23:32:01,4,Correcteur | System | Testeur | Auditeur,124,60,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,0,2,6,16,✅ Perfect timing - ❌ Many API errors (60) - ⚠️ Missing files (0)
refractorium,2026-02-28 23:29:39,2026-02-28 23:29:57,4,JudgeAgent | SystemOrchestrator | AuditorAgent | FixerAgent,5,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
code4ce,2026-02-28 23:31:26,2026-02-28 23:32:22,1,Unknown,11,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,0,4,2,6,14,✅ Perfect timing - ❌ Only 1 agent used (No Swarm) - ⚠️ Missing files (0)
Demogorgans,2026-02-28 22:35:47,2026-02-28 22:38:29,3,Auditor_Agent | System | Fixer_Agent,112,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
SwarmIO,2026-02-28 23:29:18,2026-02-28 23:32:17,3,Judge | Auditor | Fixer,21,5,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,2,2,6,18,✅ Perfect timing - ⚠️ 5 API errors - ⚠️ Missing files (0)
CSCO,2026-02-28 22:30:21,2026-02-28 22:34:01,7,Security_Check | Orchestrator | FileSystem_Tool | Auditor_Agent | Judge_Agent | Pytest_Tool | Fixer_Agent,75,0,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,4,2,6,20,✅ Perfect timing - ⚠️ Missing files (0)
S2A2,2026-02-28 23:30:00,2026-02-28 23:32:00,4,Auditor_Agent | Fixer_Agent | Judge_Agent | Orchestrator,40,20,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,0,2,6,16,✅ Perfect timing - ❌ Many API errors (20) - ⚠️ Missing files (0)
LastMinute,2026-02-28 23:29:32,2026-02-28 23:32:52,5,Orchestrator | Auditor | Tester | Judge | Fixer,67,4,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,2,2,6,18,✅ Perfect timing - ⚠️ 4 API errors - ⚠️ Missing files (0)
GogitatusCodex,2026-02-28 23:32:00,2026-02-28 23:38:53,3,Judge | Auditor | Fixer,41,4,"3/3 processed (bad_syntax.py,logic_bug.py,messy_code.py)",2,6,2,2,6,18,✅ Perfect timing - ⚠️ 4 API errors - ⚠️ Missing files (0)
