Team_number,Team_name,hidden_id,Python_Level,AI_Usage_for_Coding,Unit_Tests,GitHub_Author
10,Expedition33,Student_038,4,Systematically (Copilot/GPT is always open),"No, never",AbdouMero19
10,Expedition33,Student_039,1,Often (to generate functions),"No, never",
10,Expedition33,Student_040,2,Often (to generate functions),"No, never",ynla21
11,team42,Student_041,3,Often (to generate functions),"No, never",
11,team42,Student_042,1,Often (to generate functions),"No, never",
11,team42,Student_043,1,Often (to generate functions),"No, never",yakoubmm
11,team42,Student_044,1,Often (to generate functions),"No, never",Manid2005
12,Guembo,Student_045,3,Never,"No, never",OsDv
12,Guembo,Student_046,2,Systematically (Copilot/GPT is always open),"No, never",AnesBhm
12,Guembo,Student_047,2,Often (to generate functions),"No, never",adlenebhm
12,Guembo,Student_048,1,Systematically (Copilot/GPT is always open),"No, never",ZINOU-SAMA
13,Shecodes,Student_049,1,Rarely (to explain an error),"No, never",Lina-Douakha
13,Shecodes,Student_050,1,Rarely (to explain an error),"No, never",
13,Shecodes,Student_051,1,Rarely (to explain an error),"No, never",
13,Shecodes,Student_052,1,Rarely (to explain an error),"No, never",OuissalNK
14,edm,Student_053,3,Often (to generate functions),"Yes, a little",tarek-ait
14,edm,Student_054,4,Rarely (to explain an error),"Yes, regularly",Anes-Hadim
14,edm,Student_055,1,Often (to generate functions),"No, never",Abdellahz0
14,edm,Student_056,4,Often (to generate functions),"No, never",Rennsen
15,codeCrashers,Student_057,2,Often (to generate functions),"No, never",souhatouati
15,codeCrashers,Student_058,2,Often (to generate functions),"No, never",
15,codeCrashers,Student_059,3,Rarely (to explain an error),"No, never",labdelaoui8ahlem
15,codeCrashers,Student_060,2,Often (to generate functions),"No, never",
16,Izem,Student_061,2,Often (to generate functions),"No, never",
16,Izem,Student_062,2,Often (to generate functions),"No, never",Soulaf1
16,Izem,Student_063,2,Often (to generate functions),"No, never",
16,Izem,Student_064,3,Often (to generate functions),"No, never",Selma-star
17,CSCO,Student_065,1,Often (to generate functions),"No, never",
17,CSCO,Student_066,1,Often (to generate functions),"No, never",
17,CSCO,Student_067,1,Often (to generate functions),"No, never",
17,CSCO,Student_068,1,Often (to generate functions),"No, never",OumeimaNaili
18,dokTban,Student_069,3,Often (to generate functions),"Yes, a little",anes-adjal
18,dokTban,Student_070,4,Often (to generate functions),"Yes, a little",
18,dokTban,Student_071,3,Often (to generate functions),"Yes, a little",Ah4ds
18,dokTban,Student_072,2,Systematically (Copilot/GPT is always open),"No, never",yousfimh
19,SARRUS,Student_073,1,Often (to generate functions),"Yes, a little",AnesHannachi
19,SARRUS,Student_074,2,Systematically (Copilot/GPT is always open),"Yes, a little",Bendifallah-Rami
19,SARRUS,Student_075,2,Often (to generate functions),"No, never",ayymenU
19,SARRUS,Student_076,2,Often (to generate functions),"Yes, a little",samir-djili
20,ElEquipe ,Student_077,3,Systematically (Copilot/GPT is always open),"No, never",Moha-BMA
20,ElEquipe ,Student_078,3,Often (to generate functions),"No, never",WaelYTz
20,ElEquipe ,Student_079,3,Systematically (Copilot/GPT is always open),"No, never",alimeddi
20,ElEquipe ,Student_080,3,Often (to generate functions),"No, never",ynacsem
21,MISA,Student_081,1,Systematically (Copilot/GPT is always open),"No, never",sirine-seg
21,MISA,Student_082,1,Systematically (Copilot/GPT is always open),"No, never",Marouane-Djabri
21,MISA,Student_083,1,Systematically (Copilot/GPT is always open),"No, never",UltimateSnober
21,MISA,Student_084,1,Systematically (Copilot/GPT is always open),"No, never",ImeneTouadi
22,AgentMelio,Student_085,4,Often (to generate functions),"No, never",redouane-bensaci
22,AgentMelio,Student_086,4,Often (to generate functions),"No, never",OzMaroua
22,AgentMelio,Student_087,5,Often (to generate functions),"Yes, regularly",Dali-MDB
22,AgentMelio,Student_088,4,Often (to generate functions),"No, never",
23,HiveMind,Student_089,1,Often (to generate functions),"No, never",Amina3524
23,HiveMind,Student_090,1,Often (to generate functions),"No, never",
23,HiveMind,Student_091,1,Often (to generate functions),"No, never",
23,HiveMind,Student_092,2,Systematically (Copilot/GPT is always open),"No, never",
24,RAND,Student_093,2,Systematically (Copilot/GPT is always open),"Yes, a little",Erraid7
24,RAND,Student_094,3,Often (to generate functions),"No, never",Smakooos
24,RAND,Student_095,3,Often (to generate functions),"No, never",nbkihal
24,RAND,Student_096,3,Often (to generate functions),"No, never",dhiaeddine2005
25,YADIS,Student_097,2,Often (to generate functions),"No, never",sinyasco
25,YADIS,Student_098,2,Often (to generate functions),"No, never",
25,YADIS,Student_099,2,Often (to generate functions),"No, never",IslemNour2005
25,YADIS,Student_100,2,Often (to generate functions),"No, never",
26,Team101,Student_101,3,Often (to generate functions),"No, never",mohamedalisemmar
26,Team101,Student_102,3,Systematically (Copilot/GPT is always open),"No, never",aymenebk
26,Team101,Student_103,3,Systematically (Copilot/GPT is always open),"No, never",Serbah298
26,Team101,Student_104,3,Often (to generate functions),"No, never",KHALIL-hub5
27,TheTeam,Student_105,3,Often (to generate functions),"No, never",KermouniHadjer
27,TheTeam,Student_106,3,Often (to generate functions),"No, never",HananeBenatia
27,TheTeam,Student_107,3,Often (to generate functions),"No, never",AMALOU2323
27,TheTeam,Student_108,3,Often (to generate functions),"Yes, a little",meriem-feriel-tahari
28,Polaris,Student_109,3,Often (to generate functions),"No, never",
28,Polaris,Student_110,3,Often (to generate functions),"No, never",olahaiag
28,Polaris,Student_111,3,Often (to generate functions),"No, never",Imen-Chouat
28,Polaris,Student_112,3,Often (to generate functions),"No, never",
29,Squad,Student_113,2,Often (to generate functions),"Yes, a little",Abdeldjalil-bfs
29,Squad,Student_114,1,Often (to generate functions),"Yes, a little",
29,Squad,Student_115,2,Often (to generate functions),"Yes, a little",
29,Squad,Student_116,1,Often (to generate functions),"Yes, a little",Maroua925
30,AIgile,Student_117,4,Often (to generate functions),"No, never",hadiiiillll
30,AIgile,Student_118,2,Often (to generate functions),"No, never",nourelyakine-cs
30,AIgile,Student_119,3,Rarely (to explain an error),"Yes, a little",charif-maysaa
30,AIgile,Student_120,4,Often (to generate functions),"No, never",abderrahmanebentitraoui
31,aiAgentsBuilders,Student_121,1,Often (to generate functions),"No, never",Ayaaya18
31,aiAgentsBuilders,Student_122,1,Never,"No, never",
31,aiAgentsBuilders,Student_123,1,Never,"No, never",ayadjf
31,aiAgentsBuilders,Student_124,3,Never,"No, never",
32,GL08,Student_125,1,Systematically (Copilot/GPT is always open),"No, never",bencheikh278
32,GL08,Student_126,2,Systematically (Copilot/GPT is always open),"No, never",ysmnebrg
32,GL08,Student_127,2,Systematically (Copilot/GPT is always open),"No, never",yasminebs1
32,GL08,Student_128,1,Often (to generate functions),"No, never",Hiba289006
33,CodeHive,Student_129,2,Rarely (to explain an error),"No, never",
33,CodeHive,Student_130,1,Systematically (Copilot/GPT is always open),"No, never",Leila-Serine
33,CodeHive,Student_131,1,Systematically (Copilot/GPT is always open),"No, never",KadriHind
33,CodeHive,Student_132,3,Systematically (Copilot/GPT is always open),"No, never",hadjergherbi
34,AgentCore,Student_133,2,Often (to generate functions),"No, never",rahma82
34,AgentCore,Student_134,,,,Callmeafaf
34,AgentCore,Student_135,2,Often (to generate functions),"No, never",
34,AgentCore,Student_136,2,Often (to generate functions),"No, never",
35,HiveMindAI,Student_137,3,Systematically (Copilot/GPT is always open),"Yes, a little",NEIMEEE
35,HiveMindAI,Student_138,2,Often (to generate functions),"No, never",jupy-terr
35,HiveMindAI,Student_139,1,Systematically (Copilot/GPT is always open),"No, never",labed-rym
35,HiveMindAI,Student_140,2,Often (to generate functions),"Yes, a little",
36,NewNix,Student_141,3,Rarely (to explain an error),"No, never",Nejmeddine-Mek
36,NewNix,Student_142,2,Often (to generate functions),"No, never",YoubaB05
36,NewNix,Student_143,3,Often (to generate functions),"No, never",Heythem985
36,NewNix,Student_144,3,Often (to generate functions),"No, never",kingofdead6
37,TheSlayers,Student_145,2,Systematically (Copilot/GPT is always open),"No, never",cerine-0
37,TheSlayers,Student_146,2,Systematically (Copilot/GPT is always open),"No, never",ansam-kdr
37,TheSlayers,Student_147,2,Often (to generate functions),"No, never",assiabahri
37,TheSlayers,Student_148,2,Systematically (Copilot/GPT is always open),"No, never",hommia-abir
38,eqigl13,Student_149,3,Systematically (Copilot/GPT is always open),"No, never",zahirbour123
38,eqigl13,Student_150,2,Often (to generate functions),"No, never",
38,eqigl13,Student_151,1,Often (to generate functions),"No, never",
38,eqigl13,Student_152,1,Often (to generate functions),"No, never",
39,Spheal,Student_153,4,Often (to generate functions),"No, never",Nour-khiter
39,Spheal,Student_154,4,Often (to generate functions),"No, never",Adlen1
39,Spheal,Student_155,4,Often (to generate functions),"No, never",ETO-XXV
39,Spheal,Student_156,1,Often (to generate functions),"No, never",PerseveranceGu
40,The3Tiers,Student_157,3,Often (to generate functions),"No, never",Souames-Rayhane
40,The3Tiers,Student_158,3,Often (to generate functions),"Yes, a little",chahinezbrh
40,The3Tiers,Student_159,4,Rarely (to explain an error),"Yes, a little",
41,SNOB,Student_160,2,Systematically (Copilot/GPT is always open),"No, never",SaraCher04
41,SNOB,Student_161,4,Often (to generate functions),"Yes, a little",MammmeriNour
41,SNOB,Student_162,3,Systematically (Copilot/GPT is always open),"No, never",
41,SNOB,Student_163,3,Often (to generate functions),"Yes, a little",belkisbrahmi
42,GogitatusCodex,Student_164,3,Often (to generate functions),"No, never",Sanguiniu-s
42,GogitatusCodex,Student_165,,,,K7AL
42,GogitatusCodex,Student_166,1,Often (to generate functions),"No, never",BOUDJEMA-Djalel
42,GogitatusCodex,Student_167,3,Often (to generate functions),"No, never",mKharchi
43,venai,Student_168,4,Often (to generate functions),"Yes, a little",H-SidAli
43,venai,Student_169,3,Rarely (to explain an error),"No, never",
43,venai,Student_170,3,Systematically (Copilot/GPT is always open),"No, never",AdlanAdi
44,AgentForge,Student_171,,,,LARIBI-SARA
44,AgentForge,Student_172,2,Often (to generate functions),"No, never",LYNA06DAL
44,AgentForge,Student_173,2,Often (to generate functions),"No, never",douamira
44,AgentForge,Student_174,2,Often (to generate functions),"No, never",Meriem7705
45,EldenAgents,Student_175,3,Often (to generate functions),"No, never",RedaAdjab
45,EldenAgents,Student_176,3,Rarely (to explain an error),"Yes, a little",id-drias
45,EldenAgents,Student_177,3,Rarely (to explain an error),"Yes, a little",hacenegh
45,EldenAgents,Student_178,3,Often (to generate functions),"Yes, a little",Salamo888
46,eloussoud,Student_179,2,Rarely (to explain an error),"Yes, a little",aminabnhdd
46,eloussoud,Student_180,1,Rarely (to explain an error),"No, never",RahimSarah
46,eloussoud,Student_181,3,Systematically (Copilot/GPT is always open),"No, never",Zakariaaben
46,eloussoud,Student_182,3,Rarely (to explain an error),"No, never",ToumiNada
47,codeHealers,Student_183,1,Systematically (Copilot/GPT is always open),"No, never",louaibouch
47,codeHealers,Student_184,4,Systematically (Copilot/GPT is always open),"Yes, a little",Mahmoud-Abada
47,codeHealers,Student_185,1,Systematically (Copilot/GPT is always open),"No, never",yasserbd307
47,codeHealers,Student_186,2,Systematically (Copilot/GPT is always open),"No, never",T-abderrahmane
48,kaizen,Student_187,,,,
48,kaizen,Student_188,3,Often (to generate functions),"Yes, a little",KaoutarDaoui
48,kaizen,Student_189,3,Often (to generate functions),"No, never",assia507
48,kaizen,Student_190,4,Systematically (Copilot/GPT is always open),"Yes, a little",Syrinelyna07
49,AIvalkyries,Student_191,4,Systematically (Copilot/GPT is always open),"Yes, a little",SEBA-Sonia-Bouchra
49,AIvalkyries,Student_192,3,Often (to generate functions),"No, never",benzidane-maroua
49,AIvalkyries,Student_193,1,Systematically (Copilot/GPT is always open),"No, never",AbidAridj
49,AIvalkyries,Student_194,3,Often (to generate functions),"No, never",cordycepss
50,Refacta,Student_195,2,Rarely (to explain an error),"No, never",ashrafkrk
50,Refacta,Student_196,1,Often (to generate functions),"No, never",
50,Refacta,Student_197,2,Rarely (to explain an error),"Yes, a little",
50,Refacta,Student_198,3,Often (to generate functions),"Yes, regularly",
51,TechPioneers,Student_199,1,Often (to generate functions),"No, never",Maroua-mouaci
51,TechPioneers,Student_200,1,Often (to generate functions),"No, never",imanemadani
51,TechPioneers,Student_201,1,Often (to generate functions),"No, never",IlhemElheddi
51,TechPioneers,Student_202,1,Often (to generate functions),"No, never",
52,103,Student_203,3,Rarely (to explain an error),"No, never",D-Moncef
52,103,Student_204,3,Rarely (to explain an error),"No, never",yacineseff
52,103,Student_205,3,Often (to generate functions),"No, never",yacineouaret
52,103,Student_206,3,Often (to generate functions),"No, never",yuuxciferr
53,KLTB,Student_207,1,Often (to generate functions),"No, never",
53,KLTB,Student_208,1,Often (to generate functions),"No, never",
53,KLTB,Student_209,1,Often (to generate functions),"No, never",
53,KLTB,Student_210,1,Often (to generate functions),"No, never",kouratania15
54,ZeroBug,Student_211,2,Often (to generate functions),"No, never",alili-khadija
54,ZeroBug,Student_212,2,Often (to generate functions),"No, never",wahmanache
54,ZeroBug,Student_213,2,Often (to generate functions),"No, never",ikram-ben23
54,ZeroBug,Student_214,3,Often (to generate functions),"No, never",alaa-dergh
55,SOA,Student_215,4,Systematically (Copilot/GPT is always open),"No, never",ABDOU163
55,SOA,Student_216,4,Often (to generate functions),"No, never",mohamedHamzi
55,SOA,Student_217,2,Often (to generate functions),"Yes, a little",elhassanefek
55,SOA,Student_218,2,Often (to generate functions),"Yes, a little",s1mer-ddc
56,SwarmIO,Student_219,1,Often (to generate functions),"No, never",eng-Islam-Mohamed
56,SwarmIO,Student_220,3,Often (to generate functions),"No, never",BenarmasNADIR
56,SwarmIO,Student_221,3,Often (to generate functions),"Yes, a little",ahmed-coding0
56,SwarmIO,Student_222,3,Often (to generate functions),"No, never",anis-nassim
57,code4ce,Student_223,3,Often (to generate functions),"No, never",AmineKassab
57,code4ce,Student_224,1,Often (to generate functions),"No, never",KhlAkrem
57,code4ce,Student_225,2,Often (to generate functions),"No, never",NeilyZitouni
57,code4ce,Student_226,4,Often (to generate functions),"No, never",pedros18
58,YNHS,Student_227,1,Systematically (Copilot/GPT is always open),"No, never",SalemMohamdi
58,YNHS,Student_228,3,Rarely (to explain an error),"No, never",Yacinerrr
58,YNHS,Student_229,2,Systematically (Copilot/GPT is always open),"No, never",SIDHoussem
58,YNHS,Student_230,2,Systematically (Copilot/GPT is always open),"Yes, a little",AzzouzaMohamedNazim
59,amaterasu,Student_231,2,Rarely (to explain an error),"Yes, a little",
59,amaterasu,Student_232,2,Rarely (to explain an error),"Yes, a little",
59,amaterasu,Student_233,,,,bel-chaimaa
59,amaterasu,Student_234,2,Rarely (to explain an error),"Yes, a little",ademkhalilgrioune
60,Devgirl,Student_235,,,,tobni-islam
60,Devgirl,Student_236,2,Systematically (Copilot/GPT is always open),"No, never",rouaelah
60,Devgirl,Student_237,2,Often (to generate functions),"No, never",CELIA-cell
60,Devgirl,Student_238,2,Often (to generate functions),"No, never",
61,NeetCode,Student_239,,,,
61,NeetCode,Student_240,,,,Zahra586
61,NeetCode,Student_241,1,Systematically (Copilot/GPT is always open),"No, never",
61,NeetCode,Student_242,1,Systematically (Copilot/GPT is always open),"No, never",zerguine888
62,Refractorium,Student_243,1,Systematically (Copilot/GPT is always open),"No, never",Sihem1-bnl
62,Refractorium,Student_244,2,Often (to generate functions),"No, never",sellamikhouloud
62,Refractorium,Student_245,2,Often (to generate functions),"No, never",Anfel24
62,Refractorium,Student_246,2,Often (to generate functions),"No, never",
63,NMAT,Student_247,1,Often (to generate functions),"No, never",
63,NMAT,Student_248,1,Often (to generate functions),"No, never",acil3006
63,NMAT,Student_249,1,Often (to generate functions),"No, never",
63,NMAT,Student_250,1,Often (to generate functions),"No, never",MohamedMenacer2005
64,Enova,Student_251,3,Often (to generate functions),"No, never",Lynalns
64,Enova,Student_252,3,Often (to generate functions),"No, never",
64,Enova,Student_253,3,Often (to generate functions),"No, never",ikram713
64,Enova,Student_254,3,Often (to generate functions),"No, never",AHLEMSE
65,Jayc,Student_255,3,Often (to generate functions),"No, never",chihabdahim
65,Jayc,Student_256,4,Systematically (Copilot/GPT is always open),"No, never",sidjamyl
65,Jayc,Student_257,2,Systematically (Copilot/GPT is always open),"No, never",nayahi-lgtm
65,Jayc,Student_258,2,Often (to generate functions),"No, never",nybakalem-lang
66,LastMinute,Student_259,2,Often (to generate functions),"No, never",
66,LastMinute,Student_260,4,Rarely (to explain an error),"Yes, a little",djouider
66,LastMinute,Student_261,3,Often (to generate functions),"Yes, a little",Boukehamohamedakram
66,LastMinute,Student_262,2,Rarely (to explain an error),"No, never",Mehdi-h-m
